name	lat	lon	fcode	population
Bowser	49.44472	-124.6886	PPL	1729
Popkum	49.20366	-121.73813	PPL	1710
Nakusp	50.24987	-117.80226	PPL	1706
Naramata	49.59513	-119.59442	PPL	1625
Royston	49.64703	-124.9467	PPL	1616
Coombs	49.29963	-124.41946	PPL	1612
Saanichton	48.6	-123.41667	PPL	1565
Ashcroft	50.72372	-121.28207	PPL	1558
Mount Lehman	49.11667	-122.38333	PPL	1558
Grindrod	50.6331	-119.11905	PPL	1526
Anahim Lake	52.46652	-125.3066	PPL	1500
East Sooke	48.36639	-123.68361	PPL	1500
Oyster River	49.86667	-125.13333	PPL	1500
Pritchard	50.6831	-119.81911	PPL	1500
Telkwa	54.69696	-127.05346	PPL	1474
Crofton	48.86633	-123.65266	PPL	1446
East Wellington	49.17385	-124.01745	PPL	1444
Keating	48.56667	-123.4	PPL	1403
Sun Peaks	50.8762	-119.91075	PPL	1400
Puntledge	49.67322	-125.02907	PPLL	1387
Fort St. James	54.45597	-124.26275	PPL	1386
Radium Hot Springs	50.61667	-116.06878	PPL	1339
Lions Bay	49.45218	-123.2376	PPL	1334
Christina Lake	49.03967	-118.20847	PPL	1329
North Oyster/Yellow Point	49.04807	-123.83395	PPL	1320
Ootischenia	49.28314	-117.63554	PPL	1320
Taylor	56.15282	-120.68138	PPL	1317
Youbou	48.86632	-124.20271	PPL	1302
Gold River	49.78091	-126.05013	PPL	1246
Mount Currie	50.31667	-122.71667	PPL	1242
Union Bay	49.58377	-124.88611	PPL	1200
Bella Bella	52.16311	-128.14399	PPL	1193
South Pender Harbour	49.62202	-124.02484	PPL	1187
Kaleden	49.39835	-119.60421	PPL	1186
Deep Cove	48.68333	-123.46667	PPL	1177
Denman Island Trust Area	49.55189	-124.79881	PPL	1165
Cultus Lake	49.06667	-121.96667	PPL	1164
Fairwinds	49.27588	-124.12782	PPL	1147
Salmo	49.19554	-117.27704	PPL	1141
Welcome Beach	49.47959	-123.89239	PPLL	1125
Essondale	49.22972	-122.81111	PPL	1116
Hornby Island	49.53448	-124.66923	PPL	1100
Canoe	50.75	-119.23333	PPL	1081
Cache Creek	50.81011	-121.3246	PPL	1061
